time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,hour,day,month,weekday,city
2023-07-01 00:00:00,30.8,24.4,69.0,0.0,,160.0,13.0,,996.2,0.0,1.0,0,1,7,5,Dubai
2023-07-01 01:00:00,31.0,23.9,66.0,0.0,,180.0,11.2,,996.0,0.0,1.0,1,1,7,5,Dubai
2023-07-01 02:00:00,30.0,23.9,70.0,0.0,,200.0,11.2,,997.0,0.0,1.0,2,1,7,5,Dubai
2023-07-01 03:00:00,30.9,22.5,61.0,0.0,,200.0,5.4,,997.9,0.0,1.0,3,1,7,5,Dubai
2023-07-01 04:00:00,32.0,23.0,59.0,0.0,,170.0,9.4,,998.0,0.0,1.0,4,1,7,5,Dubai
2023-07-01 05:00:00,34.0,24.0,56.0,0.0,,220.0,11.2,,998.0,0.0,1.0,5,1,7,5,Dubai
2023-07-01 06:00:00,36.1,23.0,47.0,0.0,,250.0,13.0,,998.7,0.0,1.0,6,1,7,5,Dubai
2023-07-01 07:00:00,38.0,21.2,38.0,0.0,,250.0,13.0,,998.0,0.0,1.0,7,1,7,5,Dubai
2023-07-01 08:00:00,40.0,16.8,26.0,0.0,,250.0,14.8,,998.0,0.0,1.0,8,1,7,5,Dubai
2023-07-01 09:00:00,39.9,22.0,36.0,0.0,,280.0,16.6,,997.9,0.0,1.0,9,1,7,5,Dubai
2023-07-01 10:00:00,39.0,22.1,38.0,0.0,,270.0,18.4,,998.0,0.0,1.0,10,1,7,5,Dubai
2023-07-01 11:00:00,40.0,22.9,38.0,0.0,,300.0,18.4,,997.0,0.0,1.0,11,1,7,5,Dubai
2023-07-01 12:00:00,39.3,23.2,40.0,0.0,,280.0,20.5,,996.8,0.0,1.0,12,1,7,5,Dubai
2023-07-01 13:00:00,38.0,24.0,45.0,0.0,,280.0,22.3,,997.0,0.0,1.0,13,1,7,5,Dubai
2023-07-01 14:00:00,37.0,24.8,50.0,0.0,,270.0,22.3,,997.0,0.0,1.0,14,1,7,5,Dubai
2023-07-01 15:00:00,36.5,23.0,46.0,0.0,,270.0,18.4,,997.2,0.0,1.0,15,1,7,5,Dubai
2023-07-01 16:00:00,35.0,26.0,60.0,0.0,,280.0,25.9,,997.0,0.0,1.0,16,1,7,5,Dubai
2023-07-01 17:00:00,34.0,25.1,60.0,0.0,,270.0,16.6,,998.0,0.0,1.0,17,1,7,5,Dubai
2023-07-01 18:00:00,34.2,25.9,62.0,0.0,,240.0,11.2,,998.6,0.0,1.0,18,1,7,5,Dubai
2023-07-01 19:00:00,35.0,24.9,56.0,0.0,,220.0,11.2,,999.0,0.0,1.0,19,1,7,5,Dubai
2023-07-01 20:00:00,34.0,24.0,56.0,0.0,,230.0,7.6,,998.0,0.0,1.0,20,1,7,5,Dubai
2023-07-01 21:00:00,33.9,23.9,56.0,0.0,,220.0,7.6,,998.0,0.0,1.0,21,1,7,5,Dubai
2023-07-01 22:00:00,33.0,25.0,63.0,0.0,,210.0,7.6,,997.0,0.0,1.0,22,1,7,5,Dubai
2023-07-01 23:00:00,32.0,24.1,63.0,0.0,,160.0,11.2,,997.0,0.0,1.0,23,1,7,5,Dubai
2023-07-02 00:00:00,31.4,25.3,70.0,0.0,,170.0,11.2,,998.0,0.0,1.0,0,2,7,6,Dubai
