time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,hour,day,month,weekday,city
2023-07-01 00:00:00,16.6,15.0,90.0,0.0,,242.0,16.7,31.5,1005.4,0.0,7.0,0,1,7,5,London
2023-07-01 01:00:00,16.7,15.2,91.0,0.0,,247.0,16.7,29.6,1005.0,0.0,7.0,1,1,7,5,London
2023-07-01 02:00:00,16.6,15.1,91.0,0.0,,251.0,16.7,29.6,1004.7,0.0,7.0,2,1,7,5,London
2023-07-01 03:00:00,16.5,14.9,90.0,0.0,,255.0,16.7,29.6,1004.7,0.0,7.0,3,1,7,5,London
2023-07-01 04:00:00,15.8,14.5,92.0,0.2,,256.0,14.8,25.9,1004.3,0.0,4.0,4,1,7,5,London
2023-07-01 05:00:00,16.1,14.5,90.0,0.2,,265.0,16.7,27.8,1004.4,0.0,4.0,5,1,7,5,London
2023-07-01 06:00:00,16.7,14.3,86.0,0.2,,274.0,18.5,29.6,1004.6,4.0,4.0,6,1,7,5,London
2023-07-01 07:00:00,17.5,14.0,80.0,0.1,,281.0,20.4,31.5,1004.8,10.0,4.0,7,1,7,5,London
2023-07-01 08:00:00,18.1,13.2,73.0,0.0,,287.0,20.4,33.3,1005.2,15.0,3.0,8,1,7,5,London
2023-07-01 09:00:00,18.5,12.5,68.0,0.0,,286.0,24.1,37.0,1005.5,19.0,3.0,9,1,7,5,London
2023-07-01 10:00:00,19.7,12.5,63.0,0.0,,285.0,24.1,37.0,1005.4,20.0,3.0,10,1,7,5,London
2023-07-01 11:00:00,19.9,11.9,60.0,0.0,,283.0,24.1,40.8,1005.7,21.0,3.0,11,1,7,5,London
2023-07-01 12:00:00,20.5,11.4,56.0,0.0,,279.0,25.9,40.8,1005.8,20.0,3.0,12,1,7,5,London
2023-07-01 13:00:00,21.1,10.6,51.0,0.0,,279.0,25.9,42.6,1005.9,21.0,3.0,13,1,7,5,London
2023-07-01 14:00:00,21.5,10.3,49.0,0.0,,278.0,27.8,42.6,1005.8,25.0,3.0,14,1,7,5,London
2023-07-01 15:00:00,21.6,9.8,47.0,0.0,,279.0,27.8,42.6,1005.9,29.0,3.0,15,1,7,5,London
2023-07-01 16:00:00,21.7,9.9,47.0,0.0,,280.0,25.9,42.6,1006.2,31.0,2.0,16,1,7,5,London
2023-07-01 17:00:00,21.3,9.8,48.0,0.0,,279.0,25.9,38.9,1006.4,30.0,2.0,17,1,7,5,London
2023-07-01 18:00:00,20.4,9.6,50.0,0.0,,281.0,22.2,37.0,1006.8,34.0,2.0,18,1,7,5,London
2023-07-01 19:00:00,19.3,9.5,53.0,0.0,,279.0,20.4,31.5,1007.5,29.0,2.0,19,1,7,5,London
2023-07-01 20:00:00,17.6,9.2,58.0,0.0,,281.0,16.7,27.8,1008.2,19.0,2.0,20,1,7,5,London
2023-07-01 21:00:00,15.9,9.1,64.0,0.0,,280.0,14.8,25.9,1008.9,9.0,2.0,21,1,7,5,London
2023-07-01 22:00:00,14.6,8.8,68.0,0.0,,280.0,13.0,24.1,1009.5,0.0,2.0,22,1,7,5,London
2023-07-01 23:00:00,13.4,8.7,73.0,0.0,,279.0,13.0,24.1,1009.9,0.0,2.0,23,1,7,5,London
2023-07-02 00:00:00,12.4,8.7,78.0,0.0,,276.0,13.0,24.1,1010.1,0.0,2.0,0,2,7,6,London
2023-07-02 01:00:00,11.4,8.4,82.0,0.0,,274.0,13.0,22.2,1010.5,0.0,2.0,1,2,7,6,London
2023-07-02 02:00:00,11.0,8.2,83.0,0.0,,271.0,11.1,22.2,1010.7,0.0,2.0,2,2,7,6,London
2023-07-02 03:00:00,10.8,8.0,83.0,0.0,,271.0,11.1,20.4,1010.9,0.0,2.0,3,2,7,6,London
2023-07-02 04:00:00,10.2,8.5,89.0,0.0,,264.0,11.1,18.5,1011.2,0.0,2.0,4,2,7,6,London
2023-07-02 05:00:00,11.1,8.8,86.0,0.0,,263.0,11.1,20.4,1011.5,18.0,2.0,5,2,7,6,London
2023-07-02 06:00:00,12.6,9.4,81.0,0.0,,269.0,13.0,22.2,1011.7,40.0,2.0,6,2,7,6,London
2023-07-02 07:00:00,14.2,9.4,73.0,0.0,,271.0,14.8,25.9,1011.8,52.0,2.0,7,2,7,6,London
2023-07-02 08:00:00,15.7,8.9,64.0,0.0,,272.0,16.7,29.6,1011.9,54.0,2.0,8,2,7,6,London
2023-07-02 09:00:00,17.0,8.4,57.0,0.0,,273.0,20.4,33.3,1011.9,49.0,2.0,9,2,7,6,London
2023-07-02 10:00:00,17.9,8.5,54.0,0.0,,273.0,20.4,33.3,1012.0,43.0,2.0,10,2,7,6,London
2023-07-02 11:00:00,18.3,8.0,51.0,0.0,,271.0,22.2,37.0,1011.9,39.0,2.0,11,2,7,6,London
2023-07-02 12:00:00,19.0,7.7,48.0,0.0,,269.0,24.1,38.9,1011.8,35.0,2.0,12,2,7,6,London
2023-07-02 13:00:00,19.6,7.3,45.0,0.0,,268.0,25.9,40.8,1011.6,32.0,2.0,13,2,7,6,London
2023-07-02 14:00:00,19.9,7.3,44.0,0.0,,265.0,27.8,42.6,1011.4,33.0,2.0,14,2,7,6,London
2023-07-02 15:00:00,19.9,7.3,44.0,0.0,,265.0,27.8,44.5,1011.3,30.0,2.0,15,2,7,6,London
2023-07-02 16:00:00,19.8,7.2,44.0,0.0,,263.0,25.9,42.6,1011.3,32.0,2.0,16,2,7,6,London
2023-07-02 17:00:00,19.0,7.1,46.0,0.0,,261.0,25.9,40.8,1011.2,32.0,2.0,17,2,7,6,London
2023-07-02 18:00:00,18.2,7.0,48.0,0.0,,263.0,22.2,37.0,1011.2,33.0,2.0,18,2,7,6,London
2023-07-02 19:00:00,17.1,7.2,52.0,0.0,,260.0,20.4,33.3,1011.1,28.0,2.0,19,2,7,6,London
2023-07-02 20:00:00,15.7,7.2,57.0,0.0,,258.0,18.5,29.6,1011.3,18.0,2.0,20,2,7,6,London
2023-07-02 21:00:00,14.2,7.3,63.0,0.0,,256.0,14.8,25.9,1011.5,8.0,2.0,21,2,7,6,London
2023-07-02 22:00:00,13.1,7.5,69.0,0.0,,256.0,13.0,22.2,1011.7,0.0,2.0,22,2,7,6,London
2023-07-02 23:00:00,12.3,7.6,73.0,0.0,,257.0,14.8,25.9,1011.6,0.0,2.0,23,2,7,6,London
2023-07-03 00:00:00,11.4,7.7,78.0,0.0,,256.0,13.0,25.9,1011.5,0.0,2.0,0,3,7,0,London
2023-07-03 01:00:00,10.7,7.8,82.0,0.0,,254.0,13.0,25.9,1011.4,0.0,2.0,1,3,7,0,London
2023-07-03 02:00:00,10.3,7.7,84.0,0.0,,252.0,13.0,25.9,1011.3,0.0,2.0,2,3,7,0,London
2023-07-03 03:00:00,10.1,7.9,86.0,0.0,,248.0,13.0,24.1,1011.3,0.0,2.0,3,3,7,0,London
2023-07-03 04:00:00,9.7,7.6,87.0,0.0,,251.0,13.0,22.2,1011.3,0.0,2.0,4,3,7,0,London
2023-07-03 05:00:00,10.6,8.4,86.0,0.0,,252.0,13.0,24.1,1011.3,15.0,2.0,5,3,7,0,London
2023-07-03 06:00:00,11.9,8.7,81.0,0.0,,257.0,14.8,25.9,1011.3,35.0,2.0,6,3,7,0,London
2023-07-03 07:00:00,13.6,8.6,72.0,0.0,,260.0,18.5,29.6,1011.3,48.0,2.0,7,3,7,0,London
