time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,hour,day,month,weekday,city
2023-07-01 00:00:00,24.4,15.0,56.0,0.0,,160.0,9.4,,1017.4,,1.0,0,1,7,5,New York
2023-07-01 01:00:00,23.9,15.1,58.0,0.0,,180.0,11.2,,1017.6,,1.0,1,1,7,5,New York
2023-07-01 02:00:00,23.3,15.1,60.0,0.0,,280.0,5.4,,1018.2,,1.0,2,1,7,5,New York
2023-07-01 03:00:00,23.3,15.6,62.0,0.0,,260.0,5.4,,1018.2,,1.0,3,1,7,5,New York
2023-07-01 04:00:00,22.8,14.9,61.0,0.0,,250.0,5.4,,1018.2,,1.0,4,1,7,5,New York
2023-07-01 05:00:00,22.8,14.9,61.0,0.0,,280.0,7.6,,1017.9,,1.0,5,1,7,5,New York
2023-07-01 06:00:00,21.7,15.1,66.0,0.0,,240.0,9.4,,1018.0,,1.0,6,1,7,5,New York
2023-07-01 07:00:00,21.7,15.1,66.0,0.0,,250.0,7.6,,1017.6,,1.0,7,1,7,5,New York
2023-07-01 08:00:00,21.1,15.0,68.0,0.0,,0.0,0.0,,1017.6,,1.0,8,1,7,5,New York
2023-07-01 09:00:00,21.1,15.6,71.0,0.0,,260.0,5.4,,1017.8,,2.0,9,1,7,5,New York
2023-07-01 10:00:00,20.6,16.0,75.0,0.0,,250.0,5.4,,1018.1,,2.0,10,1,7,5,New York
2023-07-01 11:00:00,20.6,16.6,78.0,0.0,,0.0,0.0,,1018.3,,1.0,11,1,7,5,New York
2023-07-01 12:00:00,21.7,17.3,76.0,0.2,,250.0,14.8,,1018.5,,3.0,12,1,7,5,New York
2023-07-01 13:00:00,22.8,16.6,68.0,0.0,,0.0,0.0,,1018.7,,3.0,13,1,7,5,New York
2023-07-01 14:00:00,23.9,16.2,62.0,0.0,,270.0,7.6,,1018.5,,1.0,14,1,7,5,New York
2023-07-01 15:00:00,25.6,17.2,60.0,0.0,,260.0,9.4,,1018.6,,1.0,15,1,7,5,New York
2023-07-01 16:00:00,27.2,15.5,49.0,0.0,,180.0,14.8,,1018.5,,3.0,16,1,7,5,New York
2023-07-01 17:00:00,27.2,15.5,49.0,0.0,,170.0,18.4,,1017.8,,3.0,17,1,7,5,New York
2023-07-01 18:00:00,26.7,16.0,52.0,0.0,,190.0,16.6,,1018.1,,3.0,18,1,7,5,New York
2023-07-01 19:00:00,26.7,16.0,52.0,0.0,,150.0,22.3,,1017.2,,5.0,19,1,7,5,New York
2023-07-01 20:00:00,26.7,16.6,54.0,0.0,,190.0,18.4,,1016.6,,5.0,20,1,7,5,New York
2023-07-01 21:00:00,26.1,16.1,54.0,0.0,,170.0,18.4,,1016.4,,3.0,21,1,7,5,New York
2023-07-01 22:00:00,24.4,16.6,62.0,0.0,,170.0,16.6,,1015.5,,3.0,22,1,7,5,New York
2023-07-01 23:00:00,23.9,16.7,64.0,0.0,,160.0,9.4,,1015.4,,3.0,23,1,7,5,New York
2023-07-02 00:00:00,22.8,16.6,68.0,0.0,,180.0,14.8,,1015.7,,3.0,0,2,7,6,New York
2023-07-02 01:00:00,22.8,17.3,71.0,0.0,,170.0,9.4,,1015.3,,3.0,1,2,7,6,New York
2023-07-02 02:00:00,22.2,18.4,79.0,0.0,,170.0,11.2,,1015.5,,3.0,2,2,7,6,New York
2023-07-02 03:00:00,22.2,19.0,82.0,0.0,,160.0,13.0,,1015.1,,3.0,3,2,7,6,New York
2023-07-02 04:00:00,22.2,19.0,82.0,0.0,,180.0,9.4,,1014.9,,3.0,4,2,7,6,New York
2023-07-02 05:00:00,22.2,19.4,84.0,0.0,,180.0,7.6,,1014.7,,3.0,5,2,7,6,New York
2023-07-02 06:00:00,22.2,19.4,84.0,0.0,,170.0,5.4,,1014.2,,3.0,6,2,7,6,New York
2023-07-02 07:00:00,22.2,19.9,87.0,0.3,,168.0,5.4,,1013.3,,8.0,7,2,7,6,New York
2023-07-02 08:00:00,22.2,21.2,94.0,1.8,,160.0,5.4,,1012.7,,9.0,8,2,7,6,New York
2023-07-02 09:00:00,21.7,19.4,87.0,0.4,,130.0,9.4,,1012.5,,8.0,9,2,7,6,New York
2023-07-02 10:00:00,22.2,19.9,87.0,1.1,,0.0,0.0,,1012.6,,9.0,10,2,7,6,New York
2023-07-02 11:00:00,22.2,19.4,84.0,2.6,,160.0,7.6,,1012.6,,9.0,11,2,7,6,New York
2023-07-02 12:00:00,22.8,19.4,81.0,2.8,,180.0,5.4,,1012.6,,9.0,12,2,7,6,New York
2023-07-02 13:00:00,23.9,19.4,76.0,0.2,,200.0,7.6,,1012.3,,7.0,13,2,7,6,New York
2023-07-02 14:00:00,24.4,19.5,74.0,0.0,,210.0,9.4,,1012.0,,3.0,14,2,7,6,New York
2023-07-02 15:00:00,25.0,20.0,74.0,0.2,,220.0,7.6,,1012.2,,7.0,15,2,7,6,New York
2023-07-02 16:00:00,28.3,21.1,65.0,0.2,,0.0,0.0,,1012.0,,7.0,16,2,7,6,New York
2023-07-02 17:00:00,31.1,21.0,55.0,0.2,,240.0,7.6,,1011.7,,17.0,17,2,7,6,New York
